Twitter	komoran	mecab	kkma	hannanum
	나/VX	나/VX	나/VXV,나/VXA	나/P,나/PX
	놓/VX	놓/VX	놓/VXV,놓/VXA	놓/P,놓/PX
	말/VX	말/VX	말/VXV,말/VXA	말/P,말/PX
	못하/VX	못하/VX	못하/VXV,못하/VXA	못하/P,못하/PX
	보/VX	보/VX	보/VXV,보/VXA	보/P,보/PX
	시키/XSV	시키/XSV	시키/XSV	시키/X,시키/XS
	싶/VX	싶/VX	싶/VXV,싶/VXA	싶/P,싶/PX
	아니/VCN	아니/VCN	아니/VCN	아니/P
	않/VX	않/VX	않/VXV,않/VXA	않/P,않/PX
	이/VCP	이/VCP	이/VCP	이/P
	지/VX	지/VX	지/VXV,지/VXA	지/P,지/PX
가/Verb	가/VV	가/VV	가/VV	가/P,가/PV
가지/Verb	가지/VV	가지/VV	가지/VV	가지/P,가지/PV
같/Adjective	같/VA	같/VA	같/VA	같/P,같/PA
개/Noun	개/NNB	개/NNB,개/NNBC	개/NNB,개/NNM	개/N,개/NB
것/Noun	것/NNB	것/NNB,것/NNBC	것/NNB,것/NNM	것/N,것/NB
경우/Noun	경우/NNG	경우/NNG	경우/NNG	경우/N,경우/NC
그/Determiner	그/MM	그/MM	그/MDN,그/MDT	그/M,그/MM
그것/Noun	그것/NP	그것/NP	그것/NP	그것/N,그것/NP
그녀/Noun	그녀/NP	그녀/NP	그녀/NP	그녀/N,그녀/NP
그러/Verb	그러/VV	그러/VV	그러/VV	그러/P,그러/PV
그러나/Conjunction	그러나/MAJ	그러나/MAJ	그러나/MAC	그러나/M
그런/Determiner	그런/MM	그런/MM	그런/MDN,그런/MDT	그런/M,그런/MM
그렇/Adjective	그렇/VA	그렇/VA	그렇/VA	그렇/P,그렇/PA
그리고/Conjunction	그리고/MAJ	그리고/MAJ	그리고/MAC	그리고/M
나/Noun	나/NP	나/NP	나/NP	나/N,나/NP
나오/Verb	나오/VV	나오/VV	나오/VV	나오/P,나오/PV
내/Noun	내/NP	내/NP	내/NP	내/N,내/NP
내/Verb	내/VV	내/VV	내/VV	내/P,내/PV
년/Noun	년/NNB	년/NNB,년/NNBC	년/NNB,년/NNM	년/N,년/NB
다른/Determiner	다른/MM	다른/MM	다른/MDN,다른/MDT	다른/M,다른/MM
다시/Adverb	다시/MAG	다시/MAG	다시/MAG	다시/M,다시/MA
대하/Verb	대하/VV	대하/VV	대하/VV	대하/P,대하/PV
더/Adverb	더/MAG	더/MAG	더/MAG	더/M,더/MA
데/Noun	데/NNB	데/NNB,데/NNBC	데/NNB,데/NNM	데/N,데/NB
되/Verb	되/VV	되/VV	되/VV	되/P,되/PV
두/Verb	두/VV	두/VV	두/VV	두/P,두/PV
들/Suffix	들/XSN	들/XSN	들/XSN	들/X,들/XS
들/Verb	들/VV	들/VV	들/VV	들/P,들/PV
등/Noun	등/NNB	등/NNB,등/NNBC	등/NNB,등/NNM	등/N,등/NB
따르/Verb	따르/VV	따르/VV	따르/VV	따르/P,따르/PV
때/Noun	때/NNG	때/NNG	때/NNG	때/N,때/NC
때문/Noun	때문/NNB	때문/NNB,때문/NNBC	때문/NNB,때문/NNM	때문/N,때문/NB
또/Adverb	또/MAG	또/MAG	또/MAG	또/M,또/MA
만들/Verb	만들/VV	만들/VV	만들/VV	만들/P,만들/PV
많/Adjective	많/VA	많/VA	많/VA	많/P,많/PA
말/Noun	말/NNG	말/NNG	말/NNG	말/N,말/NC
말하/Verb	말하/VV	말하/VV	말하/VV	말하/P,말하/PV
명/Noun	명/NNB	명/NNB,명/NNBC	명/NNB,명/NNM	명/N,명/NB
모르/Verb	모르/VV	모르/VV	모르/VV	모르/P,모르/PV
문제/Noun	문제/NNG	문제/NNG	문제/NNG	문제/N,문제/NC
받/Verb	받/VV	받/VV	받/VV	받/P,받/PV
번/Noun	번/NNB	번/NNB,번/NNBC	번/NNB,번/NNM	번/N,번/NB
보이/Verb	보이/VV	보이/VV	보이/VV	보이/P,보이/PV
사람/Noun	사람/NNG	사람/NNG	사람/NNG	사람/N,사람/NC
사실/Noun	사실/NNG	사실/NNG	사실/NNG	사실/N,사실/NC
사회/Noun	사회/NNG	사회/NNG	사회/NNG	사회/N,사회/NC
살/Verb	살/VV	살/VV	살/VV	살/P,살/PV
생각/Noun	생각/NNG	생각/NNG	생각/NNG	생각/N,생각/NC
생각하/Verb	생각하/VV	생각하/VV	생각하/VV	생각하/P,생각하/PV
소리/Noun	소리/NNG	소리/NNG	소리/NNG	소리/N,소리/NC
속/Noun	속/NNG	속/NNG	속/NNG	속/N,속/NC
