가	가/jcs
가는	가/pvg+는/etm
가득	가득/mag
가서	가/pvg+서/ecs
가슴	가슴/ncn
가슴을	가슴/ncn+을/jco
가슴이	가슴/ncn+이/jcs^가슴/ncn+이/jcc
가운데	가운데/ncn
가장	가장/mag
가지	가지/nbu
가지고	가지/pvg+고/ecc^가지/pvg+고/ecx^가지/pvg+고/ecs^가/pvg+어/ecx+지/px+고/ecs^가/pvg+어/ecx+지/px+고/ecc^가/pvg+어/ecx+지/px+고/ecx
가진	가지/pvg+은/etm
갈	가/pvg+ㄹ/etm
갑자기	갑자기/mag
갔다	가/pvg+었/ep+다/ef^가/px+었/ep+다/ef
갔다.	가/pvg+었/ep+다/ef+./sf^가/px+었/ep+다/ef+./sf
같았다	같/paa+었/ep+다/ef
같았다.	같/paa+었/ep+다/ef+./sf
같은	같/paa+은/etm
같이	같/paa+이/xsa^같이/mag
거	것/nbn
거기에	거기/npd+에/jca
거야	것/nbn+이/jp+야/ef
거야.	것/nbn+이/jp+야/ef+./sf
거의	거의/mag
건	거/nbn+은/jxc
걸	거/nbn+ㄹ/jco
겁니다	거/nbn+ㅂ니다/ef
것	것/nbn
것도	것/nbn+도/jxc
것만	것/nbn+만/jxc
것으로	것/nbn+으로/jca
것은	것/nbn+은/jxc
것을	것/nbn+을/jco
것이	것/nbn+이/jcc^것/nbn+이/jcs
것이다	것/nbn+이/jp+다/ef
것이다.	것/nbn+이/jp+다/ef+./sf
것이었다	것/nbn+이/jp+었/ep+다/ef
것이었다.	것/nbn+이/jp+었/ep+다/ef+./sf
것인가	것/nbn+이/jp+은가/ef
것인가.	것/nbn+이/jp+은가/ef+./sf
것일까	것/nbn+이/jp+ㄹ까/ef
것입니다	것/nbn+이/jp+ㅂ니다/ef
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
것처럼	것/nbn+처럼/jca
게	거/nbn+이/jcs
게	것/nbn+이/jcs
겨우	겨우/mag
결국	결국/mag
결코	결코/mag
계속	계속/mag
고개를	고개/ncn+를/jco
곧	곧/maj
